id,产品名称,规格,单位,品牌,品牌简写,品牌代码,分类,分类代码,分类简称,分类slug,产品编码,图片,描述,价格
5ba0462740f1,安佳多效稀奶油,1*12*1L,箱,安佳,安佳,004,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002004186,,规格: 1*12*1L / 单位: 箱,
018a351987d0,安佳乳酸黄油,1*25,箱,安佳,安佳,004,肉制品/香肠/培根,010,肉制品,meat-sausage-bacon,010004367,,规格: 1*25 / 单位: 箱,
4a4e535eaabc,安佳片状乳酸黄油,1*20,箱,安佳,安佳,004,肉制品/香肠/培根,010,肉制品,meat-sausage-bacon,010004368,,规格: 1*20 / 单位: 箱,
c94592f34b65,安佳黄油薄片20*1kg,20*1kg,箱,安佳,安佳,004,肉制品/香肠/培根,010,肉制品,meat-sausage-bacon,010004369,,规格: 20*1kg / 单位: 箱,
bb26cc82f3e2,安佳含盐黄油40*227g（方形）,40*227g,箱,安佳,安佳,004,肉制品/香肠/培根,010,肉制品,meat-sausage-bacon,010004370,,规格: 40*227g / 单位: 箱,
c82e648349da,安佳黄油（无盐）4*5kg,1*4*5kg,箱,安佳,安佳,004,肉制品/香肠/培根,010,肉制品,meat-sausage-bacon,010004371,,规格: 1*4*5kg / 单位: 箱,
64ea6f3ae847,安佳黄油25kg,1*25kg,箱,安佳,安佳,004,肉制品/香肠/培根,010,肉制品,meat-sausage-bacon,010004372,,规格: 1*25kg / 单位: 箱,
0a4d02a0138f,安佳芝易奶油干酪,1*20kg,箱,安佳,安佳,004,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002004187,,规格: 1*20kg / 单位: 箱,
abf660055ded,IW冷冻蓝莓果泥（英士顿）,1*6*1kg,盒,英士顿,英士顿,102,果馅/果干/果酱,006,果馅/果酱,fruit-filling-puree-jam,005102281,,规格: 1*6*1kg / 单位: 盒,
898f3ef6b566,IW冷冻草莓果泥（英士顿）,1*6*1kg,盒,英士顿,英士顿,102,果馅/果干/果酱,006,果馅/果酱,fruit-filling-puree-jam,005102282,,规格: 1*6*1kg / 单位: 盒,
7262c3b9d2ac,IW冷冻覆盆子果泥（英士顿）,1*6*1kg,盒,英士顿,英士顿,102,果馅/果干/果酱,006,果馅/果酱,fruit-filling-puree-jam,005102283,,规格: 1*6*1kg / 单位: 盒,
b032c891f582,IW冷冻芒果果泥（英士顿）,1*6*1kg,盒,英士顿,英士顿,102,果馅/果干/果酱,006,果馅/果酱,fruit-filling-puree-jam,005102284,,规格: 1*6*1kg / 单位: 盒,
edf949abb81b,巴伐利亚克林姆牛奶味（英士顿）,6*1kg,箱,英士顿,英士顿,102,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002102028,,规格: 6*1kg / 单位: 箱,
648a41041d8d,巴伐利亚克林姆（切达乳酪味）（英士顿）,1*6*1kg,箱,英士顿,英士顿,102,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002102029,,规格: 1*6*1kg / 单位: 箱,
b350ee5deb60,巴伐利亚克林姆（酸奶味）（英士顿）,1*6*1kg,箱,英士顿,英士顿,102,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002102030,,规格: 1*6*1kg / 单位: 箱,
588e84a4d1f4,巴伐利亚克林姆（椰子味）（英士顿）,1*6*1kg,箱,英士顿,英士顿,102,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002102031,,规格: 1*6*1kg / 单位: 箱,
